"county_id","name","type"
1,"Vas megye","county"
2,"Budapest","county"
6,"Bács-Kiskun megye","county"
7,"Baranya megye ","county"
8,"Békés megye ","county"
9,"Borsod-Abaúj-Zemplén megye ","county"
10,"Csongrád megye ","county"
11,"Fejér megye ","county"
12,"Győr-Moson-Sopron megye ","county"
13,"Hajdú-Bihar megye","county"
14," Heves megye ","county"
15,"Jász-Nagykun-Szolnok megye ","county"
16,"Komárom-Esztergom megye ","county"
17,"Nógrád megye ","county"
18,"Pest megye ","county"
19,"Somogy megye ","county"
20,"Szabolcs-Szatmár-Bereg megye ","county"
21,"Tolna megye ","county"
23,"Veszprém megye ","county"
24,"Zala megye ","county"
